#META|ref=04/2026|gerado=2026-07-21|fonte=SUDECAP
01.29.10|ANDAIME METALICO TUBULAR, TIPO TORRE, L=1,0 ATE 1,5M E H=1,0 M COMPLETO|MXMES
01.29.11|MONTAGEM DE ANDAIME DO TIPO TORRE ADP REF 97064|M
01.29.12|DESMONTAGEM DE ANDAIME DO TIPO TORRE ADP REF 97064|M
02.01.01|REMOÇÃO DE TELHA METÁLICA OU PVC, INCLUSIVE EMPILHAMENTO|M2
02.01.03|REMOÇÃO DE TELHA TIPO CALHA DE FIBROCIMENTO, INCLUSIVE EMPILHAMENTO|M2
02.01.05|REMOÇÃO DE TELHA ONDULADA DE FIBROCIMENTO, INCLUSIVE EMPILHAMENTO|M2
02.01.07|REMOÇÃO DE TELHA CERÂMICA COLONIAL OU FRANCESA, INCLUSIVE EMPILHAMENTO|M2
02.02.01|REMOÇÃO DE CALHA GALVANIZADA OU PVC, INCLUSIVE AFASTAMENTO|M
02.02.05|REMOÇÃO DE RUFO DE CHAPA GALVANIZADA, INCLUSIVE AFASTAMENTO|M
02.02.10|REMOÇÃO DE CONDUTOR DE CHAPA GALVANIZADA OU PVC, INCLUSIVE AFASTAMENTO|M
02.03.01|REMOÇÃO DE ENGRADAMENTO DE TELHA METÁLICA OU PVC, INCLUSIVE EMPILHAMENTO|M2
02.03.03|REMOÇÃO DE ENGRADAMENTO DE TELHA TIPO CALHA DE FIBROCIMENTO, INCLUSIVE EMPILHAMENTO|M2
02.03.05|REMOÇÃO DE ENGRADAMENTO DE TELHA ONDULADA DE FIBROCIMENTO, INCLUSIVE EMPILHAMENTO|M2
02.03.07|REMOÇÃO DE ENGRADAMENTO DE TELHA CERÂMICA, COLONIAL OU FRANCESA, INCLUSIVE EMPILHAMENTO|M2
02.04.01|REMOÇÃO DE FORRO DE PLACAS, INCLUSIVE BARROTEAMENTO|M2
02.04.02|REMOÇÃO DE FORRO DE PLACAS, EXCLUSIVE BARROTEAMENTO|M2
02.04.10|REMOÇÃO DE FORRO DE GESSO|M2
02.06.01|REMOÇÃO DE ESQUADRIA MADEIRA DE PORTA OU JANELA, INCLUSIVE MARCO E ALIZAR|M2
02.06.02|REMOÇÃO DE ESQUADRIA, FOLHA DE PORTA OU JANELA|M2
02.06.03|REMOÇÃO DE ESQUADRIA, MARCO E ALIZAR|UN
02.06.04|REMOÇÃO DE ESQUADRIA, MARCO|UN
02.06.05|REMOÇÃO DE ESQUADRIA, ALIZAR|CJ
02.07.01|REMOÇÃO DE ESQUADRIA METÁLICA, PORTA OU JANELA|M2
02.09.01|DEMOLIÇÃO DE REVESTIMENTO DE REBOCO|M2
02.09.03|DEMOLIÇÃO DE REVESTIMENTO CERÂMICO, AZULEJO OU LADRILHO HIDRÁULICO|M2
02.09.05|DEMOLIÇÃO DE REVESTIMENTO DE PEDRA (MÁRMORE, GRANITO, ARDÓSIA, SÃO TOMÉ, ETC)|M2
02.09.06|DEMOLIÇÃO DE REVESTIMENTO DE FÓRMICA|M2
02.09.07|DEMOLIÇÃO DE REVESTIMENTO DE PEDRA ALMOFADADA|M2
02.10.01|DEMOLIÇÃO DE PISO CIMENTADO OU CONTRAPISO DE ARGAMASSA|M2
02.10.03|DEMOLIÇÃO DE PISO CERÂMICO OU LADRILHO HIDRÁULICO|M2
02.10.05|DEMOLIÇÃO DE PISO DE PEDRA (MÁRMORE, GRANITO, ARDÓSIA, SÃO TOMÉ, ETC)|M2
02.10.07|DEMOLIÇÃO DE PISO VINÍLICO|M2
02.10.08|DEMOLIÇÃO DE PISO DE MARMORITE|M2
02.10.09|DEMOLIÇÃO DE PISO DE TACO DE MADEIRA|M2
02.11.01|DEMOLIÇÃO MANUAL DE PASSEIO OU LAJE DE CONCRETO|M2
02.11.02|DEMOLIÇÃO DE PASSEIO OU LAJE DE CONCRETO COM EQUIPAMENTO PNEUMÁTICO|M2
02.11.03|DEMOLIÇÃO DE CALÇADA PORTUGUESA|M2
02.11.04|DEMOLIÇÃO DE PASSEIO OU LAJE DE CONCRETO COM EQUIPAMENTO ELÉTRICO|M2
02.11.05|DEMOLIÇÃO MANUAL DE ALVENARIA POLIÉDRICA|M2
02.11.07|DEMOLIÇÃO DE REVESTIMENTO ASFÁLTICO COM EQUIPAMENTO PNEUMÁTICO|M2
02.12.01|CORTE MECÂNICO COM SERRA CIRCULAR EM CONCRETO OU ASFALTO|M
02.13.01|DEMOLIÇÃO DE CONCRETO SIMPLES - MANUAL|M3
02.13.02|DEMOLIÇÃO DE CONCRETO ARMADO - MANUAL|M3
02.13.03|DEMOLIÇÃO DE CONCRETO SIMPLES - COM EQUIPAMENTO ELÉTRICO|M3
02.13.04|DEMOLIÇÃO DE CONCRETO ARMADO - COM EQUIPAMENTO ELÉTRICO|M3
02.14.01|DEMOLIÇÃO MANUAL DE ALVENARIA DE TIJOLOS E BLOCOS|M3
02.15.01|REMOÇÃO DE MEIO-FIO PRÉ-MOLDADO DE CONCRETO|M
02.15.02|REMOÇÃO DE MEIO-FIO DE PEDRA (GNAISSE, BASALTO, ETC)|M
02.16.01|DEMOLIÇÃO DE CONSTRUÇÕES DE ALVENARIA, INCLUSIVE REMOÇÃO E CARGA MECÂNICA|M2
02.16.04|DEMOLIÇÃO DE GABIÃO, INCLUSIVE REMOÇÃO E CARGA MECÂNICA|M3
02.19.01|DEMOLIÇÃO DE DIVISÓRIA DE PEDRA (MÁRMORE, ARDÓSIA OU MARMORITE)|M2
02.19.03|DEMOLIÇÃO DE DIVISÓRIA DE MADEIRA|M2
02.19.05|DEMOLIÇÃO DE DIVISÓRIA DE ELEMENTOS VAZADOS (COBOGÓ, ETC)|M2
02.19.06|DEMOLIÇÃO DE DIVISÓRIA DE LAMINADO|M2
02.20.01|REMOÇÃO DE QUADRO NEGRO|M2
02.21.01|REMOÇÃO DE LOUÇAS|UN
02.21.02|REMOÇÃO DE FERRAGENS (DOBRADIÇAS, FECHADURAS, MAÇANETAS)|UN
02.21.03|REMOÇÃO DE METAIS COMUNS (CONDUÍTE, SIFÃO, REGISTRO, TORNEIRA)|UN
02.21.04|REMOÇÃO DE METAIS ESPECIAIS (VÁLVULA DE DESCARGA, CAIXA SILEN)|UN
02.21.05|REMOÇÃO DE LUMINÁRIA FLUORESCENTE|UN
02.21.06|REMOÇÃO DE LUMINÁRIA INCANDESCENTE|UN
02.21.20|REMOÇÃO DE PADRÃO CEMIG|UN
02.21.21|REMOÇÃO DE PADRÃO COPASA|UN
02.21.22|REMOÇÃO DE INTERFONE|UN
02.22.01|REMOÇÃO DE BANCADA DE PEDRA (MÁRMORE, GRANITO, ARDÓSIA, MARMORITE, ETC)|M2
02.23.01|REMOÇÃO DE CERCA DE ARAME|M
02.23.03|REMOÇÃO DE ALAMBRADO|M2
02.26.01|TRANSPORTE DE MATERIAL DEMOLIDO EM CARRINHO DE MÃO, DMT <= 50,0M|M3
02.26.02|TRANSPORTE DE MATERIAL DEMOLIDO EM CARRINHO DE MÃO, 50,0M < DMT <= 100,0M|M3
02.27.01|CARGA MANUAL DE MATERIAL DEMOLIDO SOBRE CAMINHÃO|M3
02.27.02|CARGA MECÂNICA DE MATERIAL DEMOLIDO SOBRE CAMINHÃO|M3
02.28.01|TRANSPORTE DE MATERIAL DEMOLIDO EM CAMINHÃO, DMT <= 1KM|M3
02.28.02|TRANSPORTE DE MATERIAL DEMOLIDO EM CAMINHÃO, 1KM < DMT <= 2KM|M3
02.28.03|TRANSPORTE DE MATERIAL DEMOLIDO EM CAMINHÃO, 2KM < DMT <= 5KM|M3KM
02.28.04|TRANSPORTE DE MATERIAL DEMOLIDO EM CAMINHÃO, DMT > 5KM|M3KM
02.29.01|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA EM CAÇAMBA DE 5M3|VG
02.30.01|CAPINA E VARRIÇÃO DE PAVIMENTO EM ALVENARIA POLIÉDRICA|M2
03.01.01|CAPINA MANUAL DE TERRENO|M2
03.01.05|ROÇAMENTO COM ROÇADEIRA MECÂNICA|M2
03.01.07|DESTOCAMENTO, DESPRAGUEJAMENTO MANUAL DE VEGETAÇÃO|M2
03.01.08|DESMATAMENTO, DESTOCAMENTO, TRANSPORTE ATÉ 50M E LIMPEZA MECANIZADA DO TERRENO COM RETROESCAVADEIRA|M2
03.03.03|ESCAVAÇÃO MECÂNICA, INCLUSIVE TRANSPORTE ATÉ 50 M, COM RETROESCAVADEIRA EM MATERIAL DE 1ª CATEGORIA|M3
03.03.04|ESCAVAÇÃO MECÂNICA, INCLUSIVE TRANSPORTE ATÉ 50 M, COM PÁ CARREGADEIRA EM MATERIAL DE 1ª CATEGORIA|M3
03.03.05|ESCAVAÇÃO MECÂNICA, INCLUSIVE TRANSPORTE ATÉ 50 M, COM PÁ CARREGADEIRA EM MATERIAL DE 2ª CATEGORIA|M3
03.05.03|ESCAVAÇÃO E CARGA MECANIZADA COM RETROESCAVADEIRA EM MATERIAL DE 1ª CATEGORIA|M3
03.05.04|ESCAVAÇÃO E CARGA MECANIZADA COM PÁ CARREGADEIRA EM MATERIAL DE 1ª CATEGORIA|M3
